Unnamed: 0,Rank,NOC,Gold,Silver,Bronze,Total,Year,country_code,GDP_1year,GDP_2year,GDP_3year,GDP_4year,pop_1year,pop_2year,pop_3year,pop_4year,host,Area,avg_gold,std_gold,avg_silver,std_silver,avg_bronze,std_bronze,avg_total,std_total,life_expectancy
18,19,Norway,4,3,3,10,2000,NOR,162000000000.0,154000000000.0,161000000000.0,164000000000.0,4461913.0,4431464.0,4405157.0,4381336.0,0.0,323802,2.0,0.0,3.0,0.816496580927726,1.3333333333333333,1.247219128924647,6.333333333333333,0.9428090415820634,78.386
19,20,Ethiopia,4,1,3,8,2000,ETH,7700833482.0,7818205972.0,8589233420.0,8547939731.0,65374561.0,63363524.0,61404539.0,59467635.0,0.0,1104300,1.0,0.816496580927726,0.0,0.0,1.0,0.816496580927726,2.0,1.4142135623730951,49.486
20,21,Ukraine,3,10,10,23,2000,UKR,31580642102.0,41882529045.0,50151522612.0,44558841762.0,49976446.0,50379731.0,50786885.0,51226109.0,0.0,603500,3.0,4.242640687119285,0.6666666666666666,0.9428090415820634,4.0,5.656854249492381,7.666666666666667,10.842303978193728,68.004
21,22,Kazakhstan,3,4,0,7,2000,KAZ,16870817135.0,22135245413.0,22165932063.0,21035357833.0,15455874.0,15647785.0,16043251.0,16416027.0,0.0,2724900,1.0,1.4142135623730951,1.3333333333333333,1.8856180831641267,1.3333333333333333,1.8856180831641267,3.6666666666666665,5.185449728701348,63.528
22,23,Belarus,3,3,11,17,2000,BLR,12138486532.0,15222012660.0,14128408566.0,14756846154.0,10026738.0,10071963.0,10117433.0,10159569.0,0.0,207600,0.3333333333333333,0.4714045207910317,2.0,2.8284271247461903,2.6666666666666665,3.771236166328253,5.0,7.071067811865476,68.419
23,24,Canada,3,3,8,14,2000,CAN,678000000000.0,634000000000.0,655000000000.0,631000000000.0,30401286.0,30155173.0,29905948.0,29610218.0,0.0,9984670,4.333333333333333,1.8856180831641267,5.666666666666667,3.858612300930076,6.666666666666667,1.247219128924647,16.666666666666668,4.988876515698588,78.885
24,25,Spain,3,3,5,11,2000,ESP,635000000000.0,619000000000.0,590000000000.0,643000000000.0,40386875.0,40223509.0,40057389.0,39889852.0,0.0,505992,6.333333333333333,4.988876515698588,4.666666666666667,2.6246692913372702,3.333333333333333,1.8856180831641267,14.333333333333334,7.586537784494028,78.944
25,26,Turkey,3,0,2,5,2000,TUR,256000000000.0,276000000000.0,190000000000.0,181000000000.0,64591923.0,63734383.0,62852966.0,61951134.0,0.0,783562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.752
26,27,Iran,3,0,1,4,2000,IRN,114000000000.0,110000000000.0,114000000000.0,120000000000.0,65445391.0,64519859.0,63639638.0,62881300.0,0.0,1648195,0.3333333333333333,0.4714045207910317,1.0,0.0,1.0,0.816496580927726,2.333333333333333,0.9428090415820634,69.686
27,28,Czech Republic,2,3,3,8,2000,CZE,65173036731.0,66807498696.0,62180519006.0,67388492014.0,10283860.0,10294373.0,10304131.0,10315241.0,0.0,78865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.741
28,29,Kenya,2,3,2,7,2000,KEN,12896010520.0,14093998844.0,13115764433.0,12045865466.0,29733408.0,28888057.0,28101768.0,27344211.0,0.0,580367,2.6666666666666665,1.699673171197595,3.333333333333333,0.9428090415820634,2.333333333333333,0.4714045207910317,8.333333333333334,0.4714045207910317,55.866
29,30,Denmark,2,3,1,6,2000,DNK,178000000000.0,177000000000.0,174000000000.0,188000000000.0,5321799.0,5304219.0,5284991.0,5263074.0,0.0,43094,2.333333333333333,1.247219128924647,1.0,0.0,2.0,1.4142135623730951,5.333333333333333,0.9428090415820634,76.578
30,31,Finland,2,1,1,4,2000,FIN,135000000000.0,134000000000.0,127000000000.0,132000000000.0,5165474.0,5153498.0,5139835.0,5124573.0,0.0,338424,1.0,0.0,1.6666666666666667,0.4714045207910317,1.6666666666666667,0.4714045207910317,4.333333333333333,0.4714045207910317,77.451
31,32,Austria,2,1,0,3,2000,AUT,217000000000.0,218000000000.0,213000000000.0,237000000000.0,7992324.0,7976789.0,7968041.0,7959017.0,0.0,83871,0.3333333333333333,0.4714045207910317,1.0,0.816496580927726,0.6666666666666666,0.9428090415820634,2.0,0.816496580927726,77.955
32,33,Lithuania,2,0,3,5,2000,LTU,10971583945.0,11239547691.0,10118631852.0,8382519637.0,3524238.0,3549331.0,3575137.0,3601613.0,0.0,65300,0.3333333333333333,0.4714045207910317,0.0,0.0,0.6666666666666666,0.4714045207910317,1.0,0.816496580927726,71.717
33,34,Azerbaijan,2,0,1,3,2000,AZE,4581246713.0,4446370371.0,3962362387.0,3176507992.0,7982750.0,7913000.0,7838250.0,7763000.0,0.0,86600,0.0,0.0,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,64.733
34,34,Bahamas,2,0,1,3,2000,BAH,6858013100.0,6401968200.0,8529571600.0,8553146600.0,319614.0,315368.0,310904.0,306268.0,0.0,13943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.147
35,36,Slovenia,2,0,0,2,2000,SVN,22711384311.0,22146231968.0,20763101741.0,21507232649.0,1983045.0,1981629.0,1985956.0,1988628.0,0.0,20273,0.0,0.0,0.6666666666666666,0.9428090415820634,0.6666666666666666,0.9428090415820634,1.3333333333333333,0.9428090415820634,75.454
36,37,Switzerland,1,6,2,9,2000,CHE,298000000000.0,303000000000.0,295000000000.0,340000000000.0,7143991.0,7110001.0,7088906.0,7071850.0,0.0,41284,1.6666666666666667,1.699673171197595,1.6666666666666667,1.247219128924647,0.6666666666666666,0.9428090415820634,4.0,2.449489742783178,79.724
37,38,Indonesia,1,3,2,6,2000,IDN,140000000000.0,95445547873.0,216000000000.0,227000000000.0,213004668.0,209826788.0,206536095.0,203204348.0,0.0,1904569,1.0,0.816496580927726,1.3333333333333333,0.4714045207910317,1.0,0.816496580927726,3.333333333333333,1.699673171197595,66.001
38,39,Slovakia,1,3,1,5,2000,SVK,30463670124.0,29856000671.0,27706028096.0,27925036755.0,5396020.0,5390516.0,5383291.0,5373361.0,0.0,49037,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,1.0,1.4142135623730951,72.963
39,40,Mexico,1,2,3,6,2000,MEX,600000000000.0,527000000000.0,500000000000.0,411000000000.0,97115707.0,95575245.0,94021207.0,92452702.0,0.0,1964375,0.0,0.0,0.3333333333333333,0.4714045207910317,1.0,0.816496580927726,1.3333333333333333,0.4714045207910317,72.203
40,41,Nigeria,1,2,0,3,2000,NGA,59372679433.0,54604050168.0,54457835603.0,51075815093.0,123047320.0,119846254.0,116754792.0,113754779.0,0.0,923768,0.6666666666666666,0.9428090415820634,1.3333333333333333,1.247219128924647,1.3333333333333333,1.247219128924647,3.333333333333333,2.494438257849294,46.609
41,42,Algeria,1,1,3,5,2000,DZA,48640671735.0,48187781711.0,48177612042.0,46941553940.0,30474354.0,30054133.0,29579301.0,29033044.0,0.0,2381741,1.0,0.816496580927726,0.0,0.0,0.6666666666666666,0.4714045207910317,1.6666666666666667,1.247219128924647,70.088
42,43,Uzbekistan,1,1,2,4,2000,UZB,17078465982.0,14988971211.0,14744603774.0,13948892216.0,24476008.0,24134929.0,23758960.0,23351981.0,0.0,447400,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634,65.307
43,44,FR Yugoslavia,1,1,1,3,2000,YUG,,,,,-1.0,-1.0,-1.0,-1.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
44,44,Latvia,1,1,1,3,2000,LVA,7533788134.0,7166275468.0,6527926446.0,5975248851.0,2390482.0,2410019.0,2432851.0,2457222.0,0.0,64559,0.0,0.0,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,1.3333333333333333,1.247219128924647,69.648
45,46,New Zealand,1,0,3,4,2000,NZL,58762260626.0,56226503976.0,66073130218.0,70140835299.0,3835100.0,3815000.0,3781300.0,3732000.0,0.0,270467,2.333333333333333,0.9428090415820634,2.6666666666666665,0.9428090415820634,4.666666666666667,2.867441755680876,9.666666666666666,2.867441755680876,77.911
46,47,Estonia,1,0,2,3,2000,EST,5756912266.0,5674080543.0,5154420649.0,4786018988.0,1390244.0,1386156.0,1399535.0,1415594.0,0.0,45227,0.3333333333333333,0.4714045207910317,0.0,0.0,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.9428090415820634,70.681
47,47,Thailand,1,0,2,3,2000,THA,127000000000.0,114000000000.0,150000000000.0,183000000000.0,62299043.0,61522630.0,60724584.0,59920064.0,0.0,513120,0.3333333333333333,0.4714045207910317,0.0,0.0,1.0,0.0,1.3333333333333333,0.4714045207910317,70.979
48,49,Croatia,1,0,1,2,2000,HRV,23770159784.0,25885225294.0,24172608178.0,24147539210.0,4512597.0,4532135.0,4534920.0,4557097.0,0.0,56594,0.3333333333333333,0.4714045207910317,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.9428090415820634,1.6666666666666667,1.247219128924647,73.609
49,50,Cameroon,1,0,0,1,2000,CMR,11565826459.0,11298144999.0,10789458426.0,11093538841.0,14525140.0,14144860.0,13775214.0,13414757.0,0.0,475442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.166
50,50,Colombia,1,0,0,1,2000,COL,86278947621.0,98486358604.0,107000000000.0,97153389011.0,38454863.0,37792165.0,37121149.0,36462745.0,0.0,1141748,0.0,0.0,0.0,0.0,0.6666666666666666,0.4714045207910317,0.6666666666666666,0.4714045207910317,70.913
51,50,Mozambique,1,0,0,1,2000,MOZ,5976402586.0,5263884908.0,4648838896.0,3856799844.0,17734506.0,17340464.0,16949982.0,16492480.0,0.0,801590,0.0,0.0,0.0,0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.4714045207910317,48.837
52,53,Brazil,0,6,6,12,2000,BRA,600000000000.0,864000000000.0,883000000000.0,850000000000.0,171641543.0,169159655.0,166661659.0,164202549.0,0.0,8515767,2.0,0.816496580927726,2.0,0.816496580927726,4.0,3.741657386773941,8.0,5.0990195135927845,69.211
53,54,Jamaica,0,6,3,9,2000,JAM,8887058073.0,8787195622.0,8400041803.0,7393891854.0,2589795.0,2569736.0,2547848.0,2524463.0,0.0,10991,0.3333333333333333,0.4714045207910317,2.6666666666666665,0.4714045207910317,1.0,0.816496580927726,4.0,1.632993161855452,71.189
54,55,Belgium,0,2,3,5,2000,BEL,258000000000.0,259000000000.0,253000000000.0,279000000000.0,10226419.0,10203008.0,10181245.0,10156637.0,0.0,30528,0.6666666666666666,0.9428090415820634,1.0,0.816496580927726,2.0,0.0,3.6666666666666665,1.699673171197595,77.648
55,55,South Africa,0,2,3,5,2000,ZAF,152000000000.0,153000000000.0,169000000000.0,163000000000.0,46730335.0,46223880.0,45666838.0,45123018.0,0.0,1221037,1.0,1.4142135623730951,1.0,0.816496580927726,0.3333333333333333,0.4714045207910317,2.333333333333333,2.0548046676563256,59.19
56,57,Argentina,0,2,2,4,2000,ARG,284000000000.0,299000000000.0,293000000000.0,272000000000.0,36794682.0,36372860.0,35947791.0,35513793.0,0.0,2780400,0.0,0.0,1.0,0.816496580927726,1.0,0.0,2.0,0.816496580927726,73.683
57,58,Chinese Taipei,0,1,4,5,2000,TPE,303830000000.0,279960000000.0,303280000000.0,292490000000.0,22092387.0,21928591.0,21742815.0,21525433.0,0.0,36197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.62
58,58,Morocco,0,1,4,5,2000,MAR,46266427863.0,46497609536.0,39147844526.0,43161572353.0,28027179.0,27621648.0,27213337.0,26808107.0,0.0,446550,0.6666666666666666,0.4714045207910317,0.3333333333333333,0.4714045207910317,1.6666666666666667,0.4714045207910317,2.6666666666666665,0.4714045207910317,66.404
59,60,North Korea,0,1,3,4,2000,PRK,,,,,23497599.0,23311564.0,23110830.0,22895746.0,0.0,120538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.91
